Summary:
Execution time: ,81 seconds
Total # of voyages: 1224
Number of installations (excluding depot): 8
Number of time windows: 2
Number of vessels: 5
Min. # of installations: 1
Max. number of installations: 8
Min. duration: 56
Max. duration: 80
Name: FarSeeker	 # of voyages: 250
Name: FarStar	 # of voyages: 234
Name: FarSymphony	 # of voyages: 241
Name: FarSearcher	 # of voyages: 250
Name: HavilaForesight	 # of voyages: 249
------------------------------------------------------------------------------------------------------------------------
Vessel: FarSeeker
Voyages: 
number: 1406	 cost: 67965,03	 capacityUsed: 298,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-1-5
number: 1424	 cost: 78872,40	 capacityUsed: 347,84	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-8-4
number: 1481	 cost: 86749,95	 capacityUsed: 577,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-5-4
number: 1501	 cost: 68571,00	 capacityUsed: 377,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-7-5
number: 1520	 cost: 48574,15	 capacityUsed: 532,88	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-1-6
number: 1538	 cost: 85744,05	 capacityUsed: 579,36	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-3-5-6
number: 1558	 cost: 47265,27	 capacityUsed: 551,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-7-6
number: 1613	 cost: 77454,45	 capacityUsed: 500,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-1-5-7
number: 1671	 cost: 86143,98	 capacityUsed: 751,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-6-4
number: 1690	 cost: 79987,38	 capacityUsed: 361,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-3-8
number: 1864	 cost: 93209,54	 capacityUsed: 700,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-2
number: 1918	 cost: 85331,99	 capacityUsed: 470,44	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-1-4
number: 1939	 cost: 67262,12	 capacityUsed: 390,84	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-3-5
number: 1957	 cost: 90894,75	 capacityUsed: 581,52	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-6
number: 2013	 cost: 84629,07	 capacityUsed: 544,76	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-3-7
number: 2070	 cost: 88470,89	 capacityUsed: 701,96	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-3-5-6
number: 2091	 cost: 48477,20	 capacityUsed: 472,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-1-6
number: 2110	 cost: 67965,03	 capacityUsed: 316,52	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-8-5
number: 2117	 cost: 37569,83	 capacityUsed: 160,88	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-8
number: 2287	 cost: 92603,57	 capacityUsed: 874,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-1-6-4
number: 2306	 cost: 48877,14	 capacityUsed: 283,48	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-7-8
number: 2362	 cost: 87258,96	 capacityUsed: 720,48	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-5-6
number: 2383	 cost: 69080,01	 capacityUsed: 329,96	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-3-5
number: 2438	 cost: 76848,48	 capacityUsed: 439,12	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-5-8-2
number: 2459	 cost: 47265,27	 capacityUsed: 564,84	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-3-6
number: 2514	 cost: 55033,74	 capacityUsed: 674,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-1-6-7
number: 2534	 cost: 80896,33	 capacityUsed: 393,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-5-7
number: 2554	 cost: 47265,27	 capacityUsed: 490,52	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-2-6
number: 2609	 cost: 86446,97	 capacityUsed: 483,88	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-3-8
number: 2667	 cost: 92106,68	 capacityUsed: 704,12	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-6
number: 2722	 cost: 76145,56	 capacityUsed: 513,44	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-5-3-7
number: 2779	 cost: 84629,07	 capacityUsed: 563,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-3-4
number: 2952	 cost: 88470,89	 capacityUsed: 843,08	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-5-1-6
number: 3123	 cost: 91088,66	 capacityUsed: 685,88	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-3-2-7
number: 3141	 cost: 44029,42	 capacityUsed: 302,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-7-8
number: 3198	 cost: 54427,78	 capacityUsed: 613,12	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-8-1-6
number: 3254	 cost: 77963,46	 capacityUsed: 452,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-5-8
number: 3311	 cost: 76145,56	 capacityUsed: 531,96	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-5-7
number: 3369	 cost: 84023,11	 capacityUsed: 502,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-3-2-8
number: 3388	 cost: 80290,36	 capacityUsed: 332,12	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-5-8
number: 3446	 cost: 53724,86	 capacityUsed: 687,44	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-3-1-6
number: 3466	 cost: 84229,13	 capacityUsed: 567,00	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-6-4
number: 3484	 cost: 49083,16	 capacityUsed: 503,96	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-3-6
number: 3537	 cost: 93318,61	 capacityUsed: 722,64	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-5-4-6
number: 3594	 cost: 87355,91	 capacityUsed: 515,60	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-7
number: 3651	 cost: 86749,95	 capacityUsed: 454,72	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-8
number: 3710	 cost: 86749,95	 capacityUsed: 689,60	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-1-6-4
number: 3879	 cost: 90482,69	 capacityUsed: 625,00	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-3-2-8
number: 4049	 cost: 82605,15	 capacityUsed: 654,56	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-5-3-2-7
number: 4216	 cost: 95330,41	 capacityUsed: 845,24	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-5-4-1-6
number: 4272	 cost: 55336,72	 capacityUsed: 424,60	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-2-7-8
number: 4329	 cost: 53724,86	 capacityUsed: 705,96	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-6-7
number: 4385	 cost: 92106,68	 capacityUsed: 736,08	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-3-6
number: 4404	 cost: 84229,14	 capacityUsed: 535,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-5-6
number: 4424	 cost: 85441,07	 capacityUsed: 506,12	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-6-4
number: 4479	 cost: 87355,91	 capacityUsed: 534,12	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-5-4
number: 4537	 cost: 55542,75	 capacityUsed: 626,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-3-1-6
number: 4592	 cost: 75539,60	 capacityUsed: 471,08	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-5-8
number: 4612	 cost: 47568,25	 capacityUsed: 315,44	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-3-7-8
number: 4670	 cost: 86653,00	 capacityUsed: 628,72	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-6-4
number: 4842	 cost: 93815,50	 capacityUsed: 656,72	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-2-7
number: 5013	 cost: 81999,18	 capacityUsed: 593,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-5-3-2
number: 5070	 cost: 85441,07	 capacityUsed: 708,12	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-6-4
number: 5238	 cost: 60184,44	 capacityUsed: 828,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-1-6-7
number: 5404	 cost: 94021,53	 capacityUsed: 858,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-6
number: 5460	 cost: 54027,84	 capacityUsed: 438,04	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-7-8
number: 5518	 cost: 86749,95	 capacityUsed: 473,24	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-5-4
number: 5575	 cost: 88470,89	 capacityUsed: 658,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-1-5-6
number: 5632	 cost: 53118,89	 capacityUsed: 645,08	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-2-3-6
number: 5688	 cost: 86047,03	 capacityUsed: 547,56	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-3-7
number: 5708	 cost: 78169,49	 capacityUsed: 317,60	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-7-8
number: 5728	 cost: 84229,14	 capacityUsed: 474,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-5-6
